code,name
ACAD,Acadia
ARCH,Arches
BADL,Badlands
BIBE,Big Bend
BISC,Biscayne
BLCA,Black Canyon of the Gunnison
BRCA,Bryce Canyon
CANY,Canyonlands
CARE,Capitol Reef
CAVE,Carlsbad Caverns
CHIS,Channel Islands
CONG,Congaree
CRLA,Crater Lake
CUVA,Cuyahoga Valley
DENA,Denali
DEVA,Death Valley
DRTO,Dry Tortugas
EVER,Everglades
GAAR,Gates of the Arctic
GLAC,Glacier
GLBA,Glacier Bay
GRBA,Great Basin
GRCA,Grand Canyon
GRSA,Great Sand Dunes
GRSM,Great Smoky Mountains
GRTE,Grand Teton
GUMO,Guadalupe Mountains
HALE,Haleakala
HAVO,Hawaii Volcanoes
HOSP,Hot Springs
INDU,Indiana Dunes
ISRO,Isle Royale
JEFF,Gateway Arch
JOTR,Joshua Tree
KATM,Katmai
KEFJ,Kenai Fjords
KICA,Kings Canyon
KOVA,Kobuk Valley
LACL,Lake Clark
LAVO,Lassen Volcanic
MACA,Mammoth Cave
MEVE,Mesa Verde
MORA,Mount Rainier
NERI,New River Gorge
NOCA,North Cascades
NPSA,National Park of American Samoa
OLYM,Olympic
PEFO,Petrified Forest
PINN,Pinnacles
REDW,Redwood
ROMO,Rocky Mountain
SAGU,Saguaro
SEQU,Sequoia
SHEN,Shenandoah
THRO,Theodore Roosevelt
VIIS,Virgin Islands
VOYA,Voyageurs
WHSA,White Sands
WICA,Wind Cave
WRST,Wrangell-St. Elias
YELL,Yellowstone
YOSE,Yosemite
ZION,Zion
