Year,Month,ACAD,ARCH,BADL,BIBE,BISC,BLCA,BRCA,CANY,CARE,CAVE,CHIS,CONG,CRLA,CUVA,DENA,DEVA,DRTO,EVER,GAAR,GLAC,GLBA,GRBA,GRCA,GRSA,GRSM,GRTE,GUMO,HALE,HAVO,HOSP,INDU,ISRO,JEFF,JOTR,KATM,KEFJ,KICA,KOVA,LACL,LAVO,MACA,MEVE,MORA,NERI,NOCA,NPSA,OLYM,PEFO,PINN,REDW,ROMO,SAGU,SEQU,SHEN,THRO,VIIS,VOYA,WHSA,WICA,WRST,YELL,YOSE,ZION
2021,JAN,20268,48725,14899,50298,25626,8759,37725,18837,20786,16219,1786,14159,8026,83399,1,80263,7519,123528,0,23317,173,1306,164922,4824,525801,66585,13801,46112,75767,62618,86065,0,25026,229995,0,31,27701,1100,0,10455,9297,7038,46604,31759,298,233,74962,24618,26793,11861,140715,186505,65177,37208,6866,18736,4679,45053,14840,25,35338,67284,172747
2021,FEB,16123,53986,11350,43889,19686,7287,35653,20164,25718,13270,5815,14064,7803,94375,9,109242,4641,93812,0,17138,173,1236,161428,4748,502459,53108,12590,51021,65565,75786,93430,0,21258,285687,0,23,21653,695,0,8616,11483,6331,12078,30747,288,740,75915,22807,31316,12189,133771,177726,54162,9771,5162,19680,7887,35766,10836,95,36897,128222,160232
2021,MAR,38060,151074,28182,89915,30745,7236,96800,87001,115728,30749,8814,22219,15312,181539,208,171617,8055,82016,0,30876,173,2596,317054,16152,931060,74754,31321,51871,75511,128516,171050,0,65025,375049,0,38,18571,764,0,8847,36663,15533,27045,70746,23,3433,116649,58099,38402,18889,155819,201010,79431,75294,15125,22302,1558,98118,16430,230,35611,159906,429455
2021,APR,110096,193912,42749,67628,30925,14159,201771,116971,165498,25859,18700,20036,25680,222989,1082,140477,7488,94693,0,53134,196,7856,421232,31134,1169469,87739,26595,63781,78467,145067,234442,39,61664,383735,0,13,37148,282,0,18873,47678,27916,44898,103139,22,1180,92336,37644,39597,36173,183792,124267,103101,114583,11993,26531,104,78723,43241,520,67508,257158,469775
2021,MAY,324654,225789,109764,53067,37128,34729,297905,134778,221206,29206,22465,24978,56746,241048,11540,80770,7497,95632,202,175277,1382,15816,484433,84669,1363183,363712,23686,79469,87590,311165,409271,1206,77153,285611,0,25943,82199,272,0,53906,42128,60106,90598,149601,751,940,110700,63185,40064,46008,335060,37630,134360,148399,76738,26367,29785,85197,77241,2003,473799,347005,610301
2021,JUN,661891,238499,256041,33533,30780,47411,374659,110508,189603,34015,24747,18298,95155,316008,53890,56077,8175,97092,1686,587237,9527,28680,538530,123564,1539247,752114,15384,89207,111943,363083,314081,5247,117599,181050,0,96643,104953,490,0,105549,63254,111115,242561,219853,2200,205,216260,79106,37029,62698,671232,19808,162201,159062,150232,32505,49166,72891,121608,10127,938845,429980,675799
2021,JUL,782144,211393,288004,27321,20898,54392,290076,81922,151042,53346,32400,16936,194712,271931,43998,52909,6880,74370,2355,796868,15660,26246,556766,116377,1730987,828777,16755,89064,130475,382406,594273,8335,363556,125568,0,121131,117408,612,0,120113,96985,108828,449104,285707,7207,164,536906,74003,29502,65381,904767,38297,182423,194287,176113,30037,53255,86436,154509,15569,1081062,509628,581496
2021,AUG,795426,166747,236282,20207,30588,47104,200617,65853,93792,29210,28747,12334,106379,298288,64389,42775,6274,57175,2196,670628,28998,21870,430684,90498,1398161,696564,15734,79648,125262,192985,437313,7513,118126,123163,0,110733,77707,620,0,558,47231,78743,366306,209977,3116,184,0,56110,18765,55133,746343,36688,155567,162911,157639,25667,55580,51453,119271,12371,921844,429821,466928
2021,SEP,667392,191917,138477,28985,18876,44884,294922,100238,164879,24922,30185,17309,64152,271179,25910,55804,6115,44673,894,710661,26312,20823,399321,59895,1355599,570584,13701,73192,99681,144841,352400,3272,78848,163241,0,50041,23595,1538,0,0,49594,64533,260910,176683,2958,93,0,54279,21721,88860,521233,38467,50597,158262,130018,13209,27166,47151,89468,8624,882078,353166,483180
2021,OCT,557624,169937,66941,49816,24666,22757,185621,102731,164192,34791,23478,19682,47196,0,223,108985,6789,50173,0,155834,6828,13582,430734,44515,1633547,245834,25150,74905,128209,148573,0,232,0,213088,0,7141,10991,1987,0,14856,57384,43012,123161,164962,867,112,0,59262,23448,70951,352736,57105,22545,291667,55777,16842,11031,63669,31657,530,316662,0,469379
2021,NOV,81089,98362,35792,59467,16662,12356,80143,0,0,28082,15498,17897,19410,0,0,133130,1580,18413,0,0,173,3208,345649,16903,1155227,61674,22906,64666,0,118176,0,0,0,334802,0,6,27376,1569,0,11484,0,16850,23613,105813,126,0,0,14098,23187,41680,164992,71952,25406,167748,8235,21860,0,56410,16374,60,33144,0,308560
2021,DEC,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,37192,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,JAN,12640,28462,10145,43740,79041,8107,32744,9051,14155,21319,18955,9672,3492,86140,1330,99063,5911,95635,0,13651,173,2619,246460,5232,438509,51648,14151,77427,130909,40840,82444,47,51753,268187,20,28,19845,1204,147,10770,14165,6872,12164,30180,2,2869,74888,26608,23959,24128,126866,124069,46368,27236,2103,29635,2585,40264,13641,25,25234,132742,126994
2020,FEB,13459,42416,9979,50584,91655,9112,38890,12120,20579,20860,20318,10220,3351,76877,2863,127628,5972,165994,0,18020,173,2244,252897,5820,426839,55197,14716,69447,124004,51743,87813,49,62958,298294,20,58,17975,733,203,11655,9992,7422,6783,31358,2,564,76248,29078,22021,21201,110667,146224,48821,35473,4190,34404,5316,41823,11687,95,41880,167778,133718
2020,MAR,28539,81623,17183,61413,11052,5849,45132,14490,45804,28925,13408,10790,5304,191063,1687,112464,3674,99917,0,24377,173,2693,276002,19560,487535,51455,19505,35688,61695,128723,93273,41,54112,226600,20,72,6605,267,309,6933,25860,10193,29088,56577,19,326,116314,45816,18537,9079,97690,98901,16625,133333,12204,16256,2149,48402,13942,230,32516,92324,207400
2020,APR,55713,0,17290,0,2358,19803,3223,0,13014,1138,365,0,686,239572,5,18361,200,4784,0,0,168,816,0,5227,99371,0,2321,0,60,133256,91272,0,30000,0,20,2,0,282,0,0,8441,0,98,52875,0,120,40297,0,1635,5212,0,22820,0,11514,3278,10552,0,0,29214,520,0,0,40396
2020,MAY,103120,13832,55637,0,43692,25976,69579,6304,90903,1338,2514,140,814,271067,105,19994,308,24446,0,0,286,4587,43397,0,828792,123756,0,0,580,45894,154428,0,31000,89831,21,4161,0,272,6,3108,12208,3029,4900,109036,0,120,66013,900,4640,25258,63051,22300,0,46903,19618,0,29681,0,36878,283,46219,0,178194
2020,JUN,201156,163699,167784,26735,32646,27583,195463,63685,158421,10124,13740,4278,59731,324285,10031,29404,4389,69851,5,202701,807,16222,232267,78191,1535660,468201,1588,2376,15903,146727,341505,240,50905,184139,7749,21121,60989,490,254,83355,32448,48110,105540,155085,1548,120,186034,40780,10364,29408,491355,20362,52901,180311,106279,3645,53895,1449,55498,70,573205,236534,377425
